government                    236 occurrences
american                      234 occurrences
over                          226 occurrences
states                        217 occurrences
news                          201 occurrences
time                          201 occurrences
because                       201 occurrences
united                        198 occurrences
former                        198 occurrences
investigation                 195 occurrences
information                   195 occurrences
administration                186 occurrences
hillary                       185 occurrences
know                          181 occurrences
should                        178 occurrences
told                          172 occurrences
get                           170 occurrences
national                      169 occurrences
russian                       169 occurrences
first                         169 occurrences
america                       168 occurrences
being                         160 occurrences
director                      159 occurrences
made                          159 occurrences
white                         157 occurrences
according                     156 occurrences
under                         155 occurrences
country                       154 occurrences
federal                       153 occurrences
security                      153 occurrences
against                       153 occurrences
very                          153 occurrences
donald                        151 occurrences
justice                       150 occurrences
russia                        146 occurrences
even                          144 occurrences
during                        141 occurrences
going                         141 occurrences
say                           140 occurrences
political                     139 occurrences
here                          138 occurrences
years                         138 occurrences
campaign                      134 occurrences
general                       133 occurrences
law                           131 occurrences
down                          131 occurrences
public                        130 occurrences
court                         130 occurrences
email                         127 occurrences
last                          126 occurrences
office                        125 occurrences
back                          123 occurrences
documents                     121 occurrences
see                           121 occurrences
million                       121 occurrences
case                          121 occurrences
report                        120 occurrences
use                           118 occurrences
washington                    117 occurrences
committee                     116 occurrences
police                        116 occurrences
make                          116 occurrences
attorney                      116 occurrences
officials                     115 occurrences
comey                         115 occurrences
intelligence                  114 occurrences
right                         114 occurrences
fox                           114 occurrences
between                       113 occurrences
work                          113 occurrences
bill                          112 occurrences
food                          112 occurrences
election                      111 occurrences
world                         109 occurrences
through                       108 occurrences
americans                     106 occurrences
take                          106 occurrences
year                          105 occurrences
day                           104 occurrences
media                         104 occurrences
group                         103 occurrences
secretary                     103 occurrences
asked                         103 occurrences
including                     103 occurrences
foreign                       102 occurrences
think                         102 occurrences
congress                      102 occurrences
says                          100 occurrences
great                         99 occurrences
emails                        98 occurrences
program                       98 occurrences
official                      97 occurrences
released                      97 occurrences
republican                    97 occurrences
such                          97 occurrences
help                          96 occurrences
well                          96 occurrences
deal                          95 occurrences
today                         95 occurrences
john                          95 occurrences
never                         94 occurrences
special                       92 occurrences
used                          92 occurrences
didn                          91 occurrences
democrats                     91 occurrences
nuclear                       91 occurrences
vote                          91 occurrences
come                          91 occurrences
left                          90 occurrences
called                        90 occurrences
part                          89 occurrences
good                          89 occurrences
does                          89 occurrences
every                         88 occurrences
both                          88 occurrences
illegal                       87 occurrences
three                         87 occurrences
statement                     87 occurrences
senate                        86 occurrences
man                           86 occurrences
money                         86 occurrences
tax                           86 occurrences
read                          86 occurrences
members                       85 occurrences
show                          84 occurrences
own                           84 occurrences
another                       84 occurrences
went                          84 occurrences
system                        84 occurrences
nations                       83 occurrences
business                      83 occurrences
press                         82 occurrences
need                          81 occurrences
agency                        81 occurrences
party                         81 occurrences
same                          81 occurrences
act                           80 occurrences
judge                         79 occurrences
evidence                      79 occurrences
records                       78 occurrences
presidential                  78 occurrences
mccabe                        78 occurrences
congressional                 78 occurrences
watch                         77 occurrences
video                         77 occurrences
